"last","first","middle","TITLE","ORCID"
"Watts","Duncan","J.","measuring the predictability of life outcomes with a scientific mass collaboration",NA
"McLanahan","Sara",NA,"measuring the predictability of life outcomes with a scientific mass collaboration",NA
"Dutilh","Gilles",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Annis","Jeffrey",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Brown","Scott","D.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Cassey","Peter",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Evans","Nathan","J.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Grasman","Raoul","P. P. P.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Hawkins","Guy","E.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Heathcote","Andrew",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Holmes","William","R.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Krypotos","Angelos-Miltiadis",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Kupitz","Colin","N.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Leite","Fábio","P.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Lerche","Veronika",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Lin","Yi-Shin",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Logan","Gordon","D.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Palmeri","Thomas","J.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Starns","Jeffrey","J.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Trueblood","Jennifer","S.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"van Maanen","Leendert",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"van Ravenzwaaij","Don",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Visser","Ingmar",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Voss","Andreas",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"White","Corey","N.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Wiecki","Thomas","V.","the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Rieskamp","Jörg",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Donkin","Chris",NA,"the quality of response time data inference a blinded collaborative assessment of the validity of cognitive models",NA
"Boehm","Udo",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Kellen","David",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Servant","Mathieu",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Singmann","Henrik",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Matzke","Dora",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Wagenmakers","Eric-Jan",NA,"estimating acrosstrial variability parameters of the diffusion decision model expert advice and recommendations",NA
"Bastiaansen","Jojanneke","A.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Kunkels","Yoram","K.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Blaauw","Frank","J.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Boker","Steven","M.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Ceulemans","Eva",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Chen","Meng",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Chow","Sy-Miin",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"de Jonge","Peter",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Emerencia","Ando","C.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Epskamp","Sacha",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Fisher","Aaron","J.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Hamaker","Ellen","L.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Kuppens","Peter",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Lutz","Wolfgang",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Meyer","M.","Joseph","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Moulder","Robert",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Oravecz","Zita",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Riese","Harriëtte",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Rubel","Julian",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Ryan","Oisín",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Servaas","Michelle","N.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Sjobeck","Gustav",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Snippe","Evelien",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Trull","Timothy","J.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Tschacher","Wolfgang",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"van der Veen","Date","C.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Wichers","Marieke",NA,"time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Wood","Phillip","K.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Woods","William","C.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Wright","Aidan","G.C.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Albers","Casper","J.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Bringmann","Laura","F.","time to get personal the impact of researchers choices on the selection of treatment targets using the experience sampling methodology",NA
"Verschuere","Bruno",NA,"registered replication report on mazar amir and ariely 2008",NA
"Meijer","Ewout","H.","registered replication report on mazar amir and ariely 2008",NA
"Jim","Ariane",NA,"registered replication report on mazar amir and ariely 2008",NA
"Hoogesteyn","Katherine",NA,"registered replication report on mazar amir and ariely 2008",NA
"Orthey","Robin",NA,"registered replication report on mazar amir and ariely 2008",NA
"Skowronski","John","J.","registered replication report on mazar amir and ariely 2008",NA
"Acar","Oguz","A.","registered replication report on mazar amir and ariely 2008",NA
"Bakos","Bence","E.","registered replication report on mazar amir and ariely 2008",NA
"Barbosa","Fernando",NA,"registered replication report on mazar amir and ariely 2008",NA
"Bègue","Laurent",NA,"registered replication report on mazar amir and ariely 2008",NA
"Ben-Shakhar","Gershon",NA,"registered replication report on mazar amir and ariely 2008",NA
"Birt","Angie","R.","registered replication report on mazar amir and ariely 2008",NA
"Blatz","Lisa",NA,"registered replication report on mazar amir and ariely 2008",NA
"Charman","Steve","D.","registered replication report on mazar amir and ariely 2008",NA
"Claesen","Aline",NA,"registered replication report on mazar amir and ariely 2008",NA
"Clay","Samuel","L.","registered replication report on mazar amir and ariely 2008",NA
"Coary","Sean","P.","registered replication report on mazar amir and ariely 2008",NA
"Crusius","Jan",NA,"registered replication report on mazar amir and ariely 2008",NA
"Evans","Jacqueline","R.","registered replication report on mazar amir and ariely 2008",NA
"Feldman","Noa",NA,"registered replication report on mazar amir and ariely 2008",NA
"Ferreira-Santos","Fernando",NA,"registered replication report on mazar amir and ariely 2008",NA
"Gamer","Matthias",NA,"registered replication report on mazar amir and ariely 2008",NA
"Gomes","Sara",NA,"registered replication report on mazar amir and ariely 2008",NA
"González-Iraizoz","Marta",NA,"registered replication report on mazar amir and ariely 2008",NA
"Isoni","Andrea",NA,"registered replication report on mazar amir and ariely 2008",NA
"Jessup","Ryan","K.","registered replication report on mazar amir and ariely 2008",NA
"klein Selle","Nathalie",NA,"registered replication report on mazar amir and ariely 2008",NA
"Koppel","Lina",NA,"registered replication report on mazar amir and ariely 2008",NA
"Laine","Tei",NA,"registered replication report on mazar amir and ariely 2008",NA
"Lentz","Frank",NA,"registered replication report on mazar amir and ariely 2008",NA
"Loschelder","David","D.","registered replication report on mazar amir and ariely 2008",NA
"Ludvig","Elliot","A.","registered replication report on mazar amir and ariely 2008",NA
"Lynn","Monty","L.","registered replication report on mazar amir and ariely 2008",NA
"Martin","Scott","D.","registered replication report on mazar amir and ariely 2008",NA
"McLatchie","Neil","M.","registered replication report on mazar amir and ariely 2008",NA
"Mechtel","Mario",NA,"registered replication report on mazar amir and ariely 2008",NA
"Nahari","Galit",NA,"registered replication report on mazar amir and ariely 2008",NA
"Pasion","Rita",NA,"registered replication report on mazar amir and ariely 2008",NA
"Pennington","Charlotte","R.","registered replication report on mazar amir and ariely 2008",NA
"Roets","Arne",NA,"registered replication report on mazar amir and ariely 2008",NA
"Rozmann","Nir",NA,"registered replication report on mazar amir and ariely 2008",NA
"Scopelliti","Irene",NA,"registered replication report on mazar amir and ariely 2008",NA
"Spiegelman","Eli",NA,"registered replication report on mazar amir and ariely 2008",NA
"Suchotzki","Kristina",NA,"registered replication report on mazar amir and ariely 2008",NA
"Sutan","Angela",NA,"registered replication report on mazar amir and ariely 2008",NA
"Tisserand","Jean-Christian",NA,"registered replication report on mazar amir and ariely 2008",NA
"Tran","Ulrich","S.","registered replication report on mazar amir and ariely 2008",NA
"Van Hiel","Alain",NA,"registered replication report on mazar amir and ariely 2008",NA
"Västfjäll","Daniel",NA,"registered replication report on mazar amir and ariely 2008",NA
"Verliefde","Thomas",NA,"registered replication report on mazar amir and ariely 2008",NA
"Vezirian","Kévin",NA,"registered replication report on mazar amir and ariely 2008",NA
"Warmelink","Lara",NA,"registered replication report on mazar amir and ariely 2008",NA
"Wick","Katherine",NA,"registered replication report on mazar amir and ariely 2008",NA
"Wiggins","Bradford","J.","registered replication report on mazar amir and ariely 2008",NA
"Wylie","Keith",NA,"registered replication report on mazar amir and ariely 2008",NA
"Yıldız","Ezgi",NA,"registered replication report on mazar amir and ariely 2008",NA
"Grahe","Jon","E.","emerging adulthood measured at multiple institutions 2 the data",NA
"Chalk","Holly","M.","emerging adulthood measured at multiple institutions 2 the data",NA
"Alvarez","Leslie","D. Cramblet","emerging adulthood measured at multiple institutions 2 the data",NA
"Faas","Caitlin","S.","emerging adulthood measured at multiple institutions 2 the data",NA
"McFall","Joseph","P.","emerging adulthood measured at multiple institutions 2 the data",NA
"Ho","Teck-Hua",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Huber","Jürgen",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Nave","Gideon",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Pfeiffer","Thomas",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Altmejd","Adam",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Buttrick","Nick",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Chan","Taizan",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Chen","Yiling",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Forsell","Eskil",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Gampa","Anup",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Heikensten","Emma",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Hummer","Lily",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Imai","Taisuke",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Isaksson","Siri",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Manfredi","Dylan",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Rose","Julia",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"Wu","Hang",NA,"evaluating the replicability of social science experiments in nature and science between 2010 and 2015",NA
"The ManyBabies Consortium",NA,NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Alcock","Katherine","Jane","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Arias-Trejo","Natalia",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Aschersleben","Gisa",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Baldwin","Dare",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Barbu","Stéphanie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Black","Alexis","K.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Blything","Ryan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Böhland","Maximilian","P.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Bolitho","Petra",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Borovsky","Arielle",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Brady","Shannon","M.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Braun","Bettina",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Brown","Anna",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Campbell","Linda","E.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Cashon","Cara",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Choi","Mihye",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Christodoulou","Joan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Cirelli","Laura","K.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Conte","Stefania",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Cordes","Sara",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Cox","Christopher",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Davies","Catherine",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"de Klerk","Maartje",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Delle Luche","Claire",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ruiter","Laura","de","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Dinakar","Dhanya",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Dixon","Kate","C.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Durier","Virginie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Durrant","Samantha",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Fennell","Christopher",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ferguson","Brock",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ferry","Alissa",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Fikkert","Paula",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Flanagan","Teresa",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Floccia","Caroline",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Foley","Megan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Fritzsche","Tom",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Frost","Rebecca","L. A.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Gampe","Anja",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Gonzalez-Gomez","Nayeli",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Gupta","Anna",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Hahn","Laura","E.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Kiley Hamlin","J.",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Havron","Naomi",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Hay","Jessica",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Hernik","Mikołaj",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Höhle","Barbara",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Houston","Derek","M.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Howard","Lauren","H.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ishikawa","Mitsuhiko",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Itakura","Shoji",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Jackson","Iain",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Jakobsen","Krisztina","V.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Jarto","Marianna",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Johnson","Scott","P.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Junge","Caroline",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Karadag","Didar",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Kartushina","Natalia",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Keren-Portnoy","Tamar",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Klassen","Kelsey",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ko","Eon-Suk",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Kominsky","Jonathan","F.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Kosie","Jessica","E.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Kragness","Haley","E.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Krieger","Andrea","A. R.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Krieger","Florian",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Lany","Jill",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Lazo","Roberto","J.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Lee","Michelle",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Leservoisier","Chloé",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Levelt","Claartje",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Lippold","Matthias",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Liszkowski","Ulf",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Liu","Liquan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Luke","Steven","G.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Lundwall","Rebecca","A.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Macchi Cassia","Viola",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Mani","Nivedita",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Marino","Caterina",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Martin","Alia",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Mastroberardino","Meghan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Mateu","Victoria",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Mayor","Julien",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Menn","Katharina",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Michel","Christine",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Moriguchi","Yusuke",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Morris","Benjamin",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Nave","Karli","M.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Noble","Claire",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Novack","Miriam","A.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Olesen","Nonah","M.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"John Orena","Adriel",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ota","Mitsuhiko",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Esfahani","Sara","Parvanezadeh","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Paulus","Markus",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Pletti","Carolina",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Polka","Linda",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Potter","Christine",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ramachandran","Shruthilaya",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Reynolds","Greg","D.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Roth","Kelly","C.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Rothwell","Charlotte",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Rubez","Doroteja",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ryjova","Yana",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Saffran","Jenny",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Sato","Ayumi",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Savelkouls","Sophie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Schachner","Adena",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Schafer","Graham",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Schreiner","Melanie","S.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Shukla","Mohinish",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Simpson","Elizabeth","A.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Singh","Leher",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Skarabela","Barbora",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Soley","Gaye",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Sundara","Megha",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Theakston","Anna",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Thompson","Abbie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Trainor","Laurel","J.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Trehub","Sandra","E.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Trøan","Anna","S.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Tsui","Angeline","Sin-Mei","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Twomey","Katherine",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Von Holzen","Katie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Wang","Yuanyuan",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Waxman","Sandra",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Werker","Janet","F.","quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Wermelinger","Stephanie",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Woolard","Alix",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Zahner","Katharina",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Zettersten","Martin",NA,"quantifying sources of variability in infancy research using the infantdirectedspeech preference",NA
"Ebersole","Charles","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Mathur","Maya","B.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Baranski","Erica",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Bart-Plange","Diane-Jo",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Buttrick","Nicholas","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Corker","Katherine","S.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Corley","Martin",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Hartshorne","Joshua","K.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Lazarević","Ljiljana","B.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Aeschbach","Lena","F.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Andrighetto","Luca",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Arrow","Holly",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Belopavlović","Radomir",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Białek","Michał",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Bodroža","Bojana",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Bonfiglio","Diane","B. V.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Boucher","Leanne",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Brühlmann","Florian",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Casini","Erica",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Chiorri","Carlo",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Christ","Oliver",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Ciunci","Antonia","M.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Claypool","Heather","M.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Čolić","Marija","V.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Collins","W.","Matthew","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Curran","Paul","G.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Day","Chris","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Dering","Benjamin",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Falcão","Filipe",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Fedor","Anna",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Feinberg","Lily",NA,"many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
"Ferguson","Ian","R.","many labs 5 testing predatacollection peer review as an intervention to increase replicability",NA
