"title","author","journal","number","cites","year","cid","pubid","scholar"
"perceived variability  entitativity  and essentialism  introduction and overview ","V Yzerbyt, CM Judd, O Corneille","Psychology Press","",49,2004,"12952186248608912014","kNdYIx-mwKoC","XtQdbDIAAAAJ"
"subliminal evaluative conditioning  above chance cs identification may be necessary and insufficient for attitude learning ","C Stahl, J Haaf, O Corneille","Journal of Experimental Psychology: General","145 (9), 1107",47,2016,"4845725156219519932","LjlpjdlvIbIC","XtQdbDIAAAAJ"
"a systematic review of psychosocial explanations for the relationship between socioeconomic status and body mass index","MA Claassen, O Klein, B Bratanova, N Claes, O Corneille","Appetite","132, 208-221",45,2019,"17357740032356013215","XoXfffV-tXoC","XtQdbDIAAAAJ"
"unintended embodiment of concepts into percepts  sensory activation boosts attention for same modality concepts in the attentional blink paradigm","N Vermeulen, M Mermillod, J Godefroid, O Corneille","Cognition","112 (3), 467-472",45,2009,"8613519370845473571","ZeXyd9-uunAC","XtQdbDIAAAAJ"
"contribution of time estimation and knowledge to heartbeat counting task performance under original and adapted instructions","O Desmedt, O Corneille, O Luminet, J Murphy, G Bird, P Maurage","Biological Psychology","154, 107904",44,2020,"16326346216851772137","hsZV8lGYWTMC","XtQdbDIAAAAJ"
"on the respective contributions of awareness of us valence and us identity in valence acquisition through evaluative conditioning","C Stahl, C Unkelbach, O Corneille","Journal of Personality and Social Psychology","97 (3), 404-420",43,2009,"12617417709978166992","MXK_kJrjxJIC","XtQdbDIAAAAJ"
"catégories  catégorisation sociale et essentialisme psychologique","O Corneille, JP Leyens","Stéréotypes, discrimination et relations intergroupes","41-68",42,1994,"17187641010667882025","Wp0gIr-vW9MC","XtQdbDIAAAAJ"
"a heartfelt response to zimprich et al  2020   and ainley et al  2020  s commentaries  acknowledging issues with the hct would benefit interoception research","O Corneille, O Desmedt, G Zamariola, O Luminet, P Maurage","Biological psychology","152, 107869",41,2020,"8621309431715703838","kw52XkFRtyQC","XtQdbDIAAAAJ"
"resource availability and explicit memory largely determine evaluative conditioning effects in a paradigm claimed to be conducive to implicit attitude acquisition","A Mierop, M Hütter, O Corneille","Social Psychological and Personality Science","8 (7), 758-767",40,2017,"10353291651314880228","uLbwQdceFCQC","XtQdbDIAAAAJ"
"asymmetries in categorization  cerceptual discrimination  and visual search for reference and nonreference exemplars","O Corneille, RL Goldstone, S Queller, T Potter","Memory & Cognition","34 (3), 556-567",40,2006,"8589007011303131264","_kc_bZDykSQC","XtQdbDIAAAAJ"
"cognitive process  reality constraints and integrity concerns in social perception","V Yzerbyt, O Corneille","On the nature of prejudice: Fifty years after Allport","175-191",40,2005,"15020476381098805837","4TOpqqG69KYC","XtQdbDIAAAAJ"
"social judgeability and the bogus pipeline  the role of naive theories of judgment in impression formation","VY Yzerbyt, JP Leyens, O Corneille","Social Cognition","16 (1), 56-77",40,1998,"2983428818956447365","roLk4NBRz8UC","XtQdbDIAAAAJ"
"relationship between interoception and emotion regulation  new evidence from mixed methods","G Zamariola, N Frost, A Van Oost, O Corneille, O Luminet","Journal of Affective Disorders","246, 480-485",38,2019,"2300984601716233174","IRz6iEL74y4C","XtQdbDIAAAAJ"
"implicit sponsorship effects for a prominent brand","JL Herrmann, O Corneille, C Derbaix, M Kacha, B Walliser","European Journal of Marketing","",38,2014,"15479626180595689247","LPZeul_q3PIC","XtQdbDIAAAAJ"
"typicality effects in face and object perception  further evidence for the attractor field model","JW Tanaka, O Corneille","Perception & Psychophysics","69 (4), 619-627",38,2007,"1107786280817460307","KlAtU1dfN6UC","XtQdbDIAAAAJ"
"judgeability concerns  the interplay of information  applicability  and accountability in the overattribution bias ","O Corneille, JP Leyens, VY Yzerbyt, E Walther","Journal of Personality and Social Psychology","76 (3), 377",38,1999,"6586466564533226386","YOwf2qJgpHMC","XtQdbDIAAAAJ"
"nos préférences sous influences  déterminants psychologiques de nos préférences et choix","O Corneille","Editions Mardaga","",37,2010,"12125573001832808302","TFP_iSt0sucC","XtQdbDIAAAAJ"
"overcoming correlational pitfalls  experimental evidence suggests that evaluative conditioning occurs for explicit but not implicit encoding of cs us pairings","J Dedonder, O Corneille, D Bertinchamps, V Yzerbyt","Social Psychological and Personality Science","5 (2), 250-257",35,2014,"5697789728293285986","nb7KW1ujOQ8C","XtQdbDIAAAAJ"
"the dispositional inference strikes back  situational focus and dispositional suppression in causal attribution ","VY Yzerbyt, O Corneille, M Dumont, K Hahn","Journal of personality and social psychology","81 (3), 365",35,2001,"7391678040576408253","Se3iqnhoufwC","XtQdbDIAAAAJ"
"une synthèse critique du modèle de probabilité d élaboration","O Corneille","L'année psychologique","93 (4), 583-602",35,1993,"12449529567925464980","7PzlFSSx8tAC","XtQdbDIAAAAJ"
"a mood moderation of the extrinsic affective simon task","N Vermeulen, O Corneille, O Luminet","European Journal of Personality: Published for the European Association of …","",32,2007,"7588397430435219768","4DMP91E08xMC","XtQdbDIAAAAJ"
"on the social cost of interdependence  alexithymia is enhanced among socially interdependent people","S Konrath, D Grynberg, O Corneille, S Hammig, O Luminet","Personality and Individual Differences","50 (2), 135-141",31,2011,"7042865805579513763","YFjsv_pBGBYC","XtQdbDIAAAAJ"
"holding a mirror up to the self  egocentric similarity beliefs underlie social projection in cooperation","C Toma, O Corneille, V Yzerbyt","Personality and Social Psychology Bulletin","38 (10), 1259-1271",29,2012,"3342687320620267356","iH-uZ7U-co4C","XtQdbDIAAAAJ"
"l eye to me  the combined role of need for cognition and facial trustworthiness in mimetic desires","E Treinen, O Corneille, G Luypaert","Cognition","122 (2), 247-251",28,2012,"7554726733122173009","lSLTfruPkqcC","XtQdbDIAAAAJ"
"liking products by the head of a dog  perceived orientation of attention induces valence acquisition","O Corneille, S Mauduit, RW Holland, M Strick","Journal of Experimental Social Psychology","45 (1), 234-237",28,2009,"9415516638960097790","TQgYirikUcIC","XtQdbDIAAAAJ"
"religiosity and the motivation for social affiliation","P Van Cappellen, BL Fredrickson, V Saroglou, O Corneille","Personality and individual differences","113, 24-31",27,2017,"603246807015907096","Fu2w8maKXqMC","XtQdbDIAAAAJ"
"social projection increases for positive targets  ascertaining the effect and exploring its antecedents","M Machunsky, C Toma, V Yzerbyt, O Corneille","Personality and Social Psychology Bulletin","40 (10), 1373-1388",24,2014,"6335147376320230380","J-pR_7NvFogC","XtQdbDIAAAAJ"
"how can intranasal oxytocin research be trusted  a systematic review of the interactive effects of intranasal oxytocin on psychosocial outcomes","A Mierop, M Mikolajczak, C Stahl, J Béna, O Luminet, A Lane, O Corneille","Perspectives on Psychological Science","15 (5), 1228-1242",23,2020,"1795248903627321159","L1USKYWJimsC","XtQdbDIAAAAJ"
"eye m lovin it  the role of gazing awareness in mimetic desires","C Bry, E Treinen, O Corneille, V Yzerbyt","Journal of Experimental Social Psychology","47 (5), 987-993",21,2011,"5500744464336325816","_Qo2XoVZTnwC","XtQdbDIAAAAJ"
"on the  mis  categorization of unattractive brides and attractive prostitutes  extending evaluative congruency effects to social category activation","KI Ruys, A Dijksterhuis, O Corneille","Experimental psychology","55 (3), 182-188",21,2008,"17080408000140665710","ULOm3_A8WrAC","XtQdbDIAAAAJ"
"repetition increases both the perceived truth and fakeness of information  an ecological account","O Corneille, A Mierop, C Unkelbach","Cognition","205, 104470",20,2020,"7644437516312989011","MAUkC_7iAq8C","XtQdbDIAAAAJ"
"distortions in the memory of the pitch of speech","SE Stern, JW Mullennix, O Corneille, J Huart","Experimental Psychology","54 (2), 148-160",19,2007,"2172397905434518596","dhFuZR0502QC","XtQdbDIAAAAJ"
"the return of dispositionalism  on the linguistic consequences of dispositional suppression","N Geeraert, VY Yzerbyt, O Corneille, D Wigboldus","Journal of Experimental Social Psychology","40 (2), 264-272",19,2004,"9636727852454452035","qxL8FJ1GzNcC","XtQdbDIAAAAJ"
"la catégorisation sociale","O Corneille","","",19,1997,"12779374074601321096","_Re3VWB3Y0AC","XtQdbDIAAAAJ"
"does it help to feel your body  evidence is inconclusive that interoceptive accuracy and sensibility help cope with negative experiences","G Zamariola, O Luminet, A Mierop, O Corneille","Cognition and Emotion","33 (8), 1627-1638",18,2019,"13535405099581734232","yMeIxYmEMEAC","XtQdbDIAAAAJ"
"is plain food packaging plain wrong  plain packaging increases unhealthy snack intake among males","COC Werle, L Balbo, C Caldara, O Corneille","Food Quality and Preference","49, 168-175",18,2016,"15067340950590856275,732109251426675901","PELIpwtuRlgC","XtQdbDIAAAAJ"
"nice or smart  task relevance of self characteristics moderates interpersonal projection","C Toma, V Yzerbyt, O Corneille","Journal of Experimental Social Psychology","48 (1), 335-340",18,2012,"18142597851591449778","4JMBOYKVnBMC","XtQdbDIAAAAJ"
"memory for words representing modal concepts","N Vermeulen, B Chang, M Mermillod, G Pleyers, O Corneille","Experimental psychology","",17,2013,"17864337397773812939","xtRiw3GOFMkC","XtQdbDIAAAAJ"
"label reading  numeracy and food   nutrition involvement","MDGH Mulders, O Corneille, O Klein","Appetite","128, 214-222",15,2018,"10347262165774590047","S16KYo8Pm5AC","XtQdbDIAAAAJ"
"on reducing an empathy gap  the impact of self construal and order of judgment","KA Woltin, VY Yzerbyt, O Corneille","British Journal of Social Psychology","50 (3), 553-562",15,2011,"2952787096357658506","r0BpntZqJG4C","XtQdbDIAAAAJ"
"dependence and the formation of stereotyped beliefs about groups  from interpersonal to intergroup perception","O Corneille, V Yzerbyt","","",14,2002,"4048611891386897483","9ZlFYXVOiuMC","XtQdbDIAAAAJ"
"incidentally activated knowledge and stereotype based judgments  a consideration of primed construct target attribute match","O Corneille, TK Vescio, CM Judd","Social Cognition","18 (4), 377-399",14,2000,"9904237526054360813","mB3voiENLucC","XtQdbDIAAAAJ"
"la persuasion","V Yzerbyt, O Corneille","","",14,1994,"8505202519742496847","qUcmZB5y_30C","XtQdbDIAAAAJ"
"verifying properties of concepts spontaneously requires sharing resources with same modality percept","N Vermeulen, B Chang, O Corneille, G Pleyers, M Mermillod","Cognitive Processing","14 (1), 81-87",12,2013,"16046499901842324658","_xSYboBqXhAC","XtQdbDIAAAAJ"
"yes  there is a preferential detection of negative stimuli  a response to labiouse ","A Dijksterhuis, O Corneille, H Aarts, N Vermeulen, O Luminet","Blackwell Publishing","",12,2004,"11488854095323893921","hC7cP41nSMkC","XtQdbDIAAAAJ"
"behavioral and physiological evidence challenges the automatic acquisition of evaluations","O Corneille, G Mertens","Current Directions in Psychological Science","29 (6), 569-574",11,2020,"15960897127593910315","QyXJ3EUuO1IC","XtQdbDIAAAAJ"
"about prisoners and dictators  the role of other self focus  social value orientation  and sterotype primes in shaping cooperative behavior","D Smeesters, L Warlop, V Yzerbyt, O Corneille, E Van Avermaet","DTEW Research Report","0317, 1-74",11,2003,"6444809773793166464","RHpTSmoSYBkC","XtQdbDIAAAAJ"
"what do measures of self report interoception measure  insights from a systematic review  latent factor analysis  and network approach","O Desmedt, A Heeren, O Corneille, O Luminet","PsyArXiv","",10,2021,"16885411227424234449","w1MjKQ0l0TYC","XtQdbDIAAAAJ"
"improving communicative understanding  the benefits of global processing","KA Woltin, O Corneille, VY Yzerbyt","Journal of Experimental Social Psychology","48 (5), 1179-1182",10,2012,"18373957976140319710","g5m5HwL7SMYC","XtQdbDIAAAAJ"
"categorías  categorización social y esencialismo psicológico","JP Leyens, O Corneille","Estereotipos, discriminación y relaciones entre grupos","49-69",10,1996,"1160726266463551594","maZDTaKrznsC","XtQdbDIAAAAJ"
"sixty years after orne s american psychologist article  a conceptual analysis of  demand characteristics ","O Corneille, P Lush","PsyArXiv","",9,2021,"11434229850137566795","zGdJYJv2LkUC","XtQdbDIAAAAJ"
"does attitude acquisition in evaluative conditioning without explicit cs us memory reflect implicit misattribution of affect ","A Mierop, M Hütter, C Stahl, O Corneille","Cognition and Emotion","33 (2), 173-184",9,2019,"7621394673795418020","nrtMV_XWKgEC","XtQdbDIAAAAJ"
"retrieving autobiographical memories influences judgments about others  the role of metacognitive experiences","KA Woltin, O Corneille, VY Yzerbyt","Personality and Social Psychology Bulletin","40 (4), 526-539",9,2014,"14468842675307475752","geHnlv5EZngC","XtQdbDIAAAAJ"
"incidental attitude formation via the surveillance task  a registered replication report of olson and fazio  2001 ","T Moran Yorovich, SJ Hughes, I Hussey, M Vadillo, M Olson, F Aust, ...","Psychological Science","",8,2020,"9564355090449089290","AYInfyleIOsC","XtQdbDIAAAAJ"
"evidence suggestive of uncontrollable attitude acquisition replicates in an instructions based evaluative conditioning paradigm  implications for associative attitude acquisition","O Corneille, A Mierop, C Stahl, M Huetter","Journal of Experimental Social Psychology","85, 103841",8,2019,"2973770121990251745","gKiMpY-AVTkC","XtQdbDIAAAAJ"
"investigating attitudinal ambivalence via sequential priming  evidence for the simultaneous and unintentional activation of opposite evaluations ","KT Berger, M Hütter, O Corneille","Journal of Experimental Psychology: General","148 (7), 1269",8,2019,"13404754164355627087","cWzG1nlazyYC","XtQdbDIAAAAJ"
"stigmatisation sociale et comportements linguistiques  le lexique menacé ","V Provost, V Yzerbyt, O Corneille, M Désert, M Francard","Revue internationale de psychologie sociale","",8,2003,"9694111810369962549","R3hNpaxXUhUC","XtQdbDIAAAAJ"
"what leads people to tolerate negative interest rates on their savings ","O Corneille, C D’Hondt, R De Winne, E Efendic, A Todorovic","Journal of Behavioral and Experimental Economics","93, 101714",7,2021,"11585017110598687526","j7_hQOaDUrUC","XtQdbDIAAAAJ"
"field identification iat predicts students  academic persistence over and above theory of planned behavior constructs ","N Roland, A Mierop, M Frenay, O Corneille","Frontline Learning Research","6 (1), 19-30",7,2018,"10189240267142329825","LI9QrySNdTsC","XtQdbDIAAAAJ"
"emotion specific load disrupts concomitant affective processing","N Vermeulen, PM Niedenthal, G Pleyers, M Bayot, O Corneille","Quarterly Journal of Experimental Psychology","67 (9), 1655-1660",7,2014,"6621539274143900688","q3oQSFYPqjQC","XtQdbDIAAAAJ"
"free bumperstickers for a better future  the long term effect of the labeling technique ","G Cornelissen, S Dewitte, L Warlop, A Liégeois","ACR North American Advances","",7,2006,"16495189504700417318","35N4QoGY0k4C","XtQdbDIAAAAJ"
"the interplay of naive theories and entitativity from the outsider and the insider perspectives","VY Yzerbyt, O Corneille, C Estrada","Personality and Social Psychology Review","5, 141-155",7,2001,"16255494939538260180","eflP2zaiRacC","XtQdbDIAAAAJ"
"a systematic review and meta analysis on the association between heartbeat counting task performance and mental disorders and their risk factors among adults","O Desmedt, M Van Den Houte, M Walentynowicz, S Dekeyser, O Luminet, ...","OSF Preprints","",6,2020,"49374741940142271","U_HPUtbDl20C","XtQdbDIAAAAJ"
"the influence of a verticality metaphor in the processing of happy and sad faces","T Mahieu, O Corneille, V Yzerbyt","Revue internationale de psychologie sociale","27 (2), 51-77",6,2014,"2501380373887645400","wbdj-CoPYUoC","XtQdbDIAAAAJ"
"i m dirty as anyone else    so what  when attempts at inducing hypocrisy backfire","A Liégeois, V Yserbyt, O Corneille","Annual meeting of the Belgian Association for Psychological Sciences (BAPS …","",6,2005,"14243311321895903556","isC4tDSrTZIC","XtQdbDIAAAAJ"
"cognitive load impairs evaluative conditioning  even when individual cs and us stimuli are successfully encoded","A Mierop, P Maurage, O Corneille","International Review of Social Psychology","33 (1)",5,2020,"15999612036577050864","1taIhTC69MYC","XtQdbDIAAAAJ"
"negative interest rates may be more psychologically acceptable than assumed  implications for savings","E Efendic, C D'Hondt, R De Winne, O Corneille","Available at SSRN","3494988",5,2019,"5203146398033104757","U4n9YNQMCAIC","XtQdbDIAAAAJ"
"work more  then feel more  the influence of effort on affective predictions","GM Jiga-Boy, C Toma, O Corneille","PloS one","9 (7), e101512",5,2014,"6613167033557021280","1qzjygNMrQYC","XtQdbDIAAAAJ"
"rendering sustainable consumption behaviour more sustainable  psychological tools for marketing prosocial commitment  final report","L Warlop, V Yzerbyt, O Corneille, A Liégeois, G Cornelissen","Belgian Science Policy (Brussels)","",5,2008,"5214479926184039092","e5wmG9Sq2KIC","XtQdbDIAAAAJ"
"do not prime hawks with doves  the impact of dispositions and situation specific features on the emergence of cooperative behavior in mixed motive situations","D Smeesters, L Warlop, E Van Avermaet, O Corneille","DTEW Research Report","0148, 1-50",5,2001,"11594584500697176331","j3f4tGmQtD8C","XtQdbDIAAAAJ"
"what if the heartbeat counting task required no measure of cardiac activity ","O Desmedt, O Luminet, P Maurage, O Corneille","PsyArXiv","",4,2020,"11461936371374817018","KaMxkj08jr0C","XtQdbDIAAAAJ"
"the power of projection for powerless and powerful people  effect of power on social projection is moderated by dimension of judgment","C Toma, V Yzerbyt, O Corneille, S Demoulin","Social Psychological and Personality Science","8 (8), 888-896",4,2017,"8168615085260783361","kzcrU_BdoSEC","XtQdbDIAAAAJ"
"perspectives psychosociales sur les stéréotypes","JP Leyens, O Corneille","","",4,2001,"10879788302381925030","-_dYPAW6P2MC","XtQdbDIAAAAJ"
"prolégomènes à la persuasion et au changement d attitude","V Yzerbyt, O Corneille","","",4,1994,"6739104621966276449","fEOibwPWpKIC","XtQdbDIAAAAJ"
"is earth a perfect square  repetition increases the perceived truth of highly implausible statements","D Lacassagne, J Béna, O Corneille","PsyArXiv","",3,2021,"6798735441967927185","k_7cPK9k7w8C","XtQdbDIAAAAJ"
"incidental attitude formation via the surveillance task  a preregistered replication of the olson and fazio  2001  study","T Moran, S Hughes, I Hussey, MA Vadillo, MA Olson, F Aust, K Bading, ...","Psychological Science","32 (1), 120-131",3,2021,"7414943818121358044","prdVHNxh-e8C","XtQdbDIAAAAJ"
"evaluative conditioning in the surveillance paradigm is moderated by awareness exclusion criteria","C Stahl, O Corneille","PsyArXiv","",3,2020,"12214763524933772819","XUvXOeBm_78C","XtQdbDIAAAAJ"
"evaluative influences of cs us pairings are non reciprocal","A Mierop, A Bret, V Yzerbyt, R Dumas, O Corneille","Social Psychological Bulletin","14 (1), 1-16",3,2019,"10694062248030690232","F9fV5C73w3QC","XtQdbDIAAAAJ"
"response production during extinction training is not sufficient for extinction of evaluative conditioning","A Mierop, M Molet, O Corneille","Cognition and Emotion","",3,2018,"3271212034032676772","anf4URPfarAC","XtQdbDIAAAAJ"
"poverty   obesity  how poverty and hunger influence food choices","MA Claassen, O Klein, O Corneille","European Health Psychologist","18 (Supp), 337-339",3,2016,"15072494588492978023","JQOojiI6XY0C","XtQdbDIAAAAJ"
"mere exposure effect in sponsorship  a field investigation involving a highly familiar brand","JL Herrmann, M Kacha, B Walliser, J Dedonder, O Corneille","ACR North American Advances","",3,2011,"9053465335302122052","eq2jaN3J8jMC","XtQdbDIAAAAJ"
"the disposition effect does not survive disclosure of expected price trends","O Corneille, R De Winne, C D’hondt","Journal of Behavioral and Experimental Finance","20, 80-91",2,2018,"4315582665410418911","VaXvl8Fpj5cC","XtQdbDIAAAAJ"
"oversatiation negatively affects evaluation of goal relevant  but not goal irrelevant  advertised brands","JC Karremans, M Kacha, JL Herrmann, C Vermeulen, O Corneille","Journal of Consumer Marketing","",2,2016,"10860395230155179534","WqliGbK-hY8C","XtQdbDIAAAAJ"
"corrigendum to  container size influences snack food intake independently of portion size  appetite 58  2012  814 817 ","D Marchiori, O Corneille, O Klein","Appetite-Kidlington","59 (2), 616",2,2012,"3373440419651430911","yD5IFk8b50cC","XtQdbDIAAAAJ"
"categorization of face race modulates holistic face processing","C Michel, O Corneille, B Rossion","Journal of Vision","6 (6), 435-435",2,2006,"4210125094516290647","hMod-77fHWUC","XtQdbDIAAAAJ"
"robustness tests provide further support for an ecological account of the truth and fake news by repetition effects","J Béna, O Corneille, A Mierop, C Unkelbach","PsyArXiv","",1,2021,"4899346746491802595","wE-fMHVdjMkC","XtQdbDIAAAAJ"
"truth by repetition  without repetition  testing the effect of instructed repetition on truth judgments","S Mattavelli, O Corneille, C Unkelbach","PsyArXiv","",1,2021,"14887610071973777981","QsaTk4IG4EwC","XtQdbDIAAAAJ"
"unaware attitude formation in the surveillance task  revisiting the findings of moran et al  2021 ","B Kurdi, I Hussey, C Stahl, S Hughes, C Unkelbach, M Ferguson, ...","PsyArXiv","",1,2020,"9178405999232043018","ce2CqMG-AY4C","XtQdbDIAAAAJ"
"moving beyond the process dissociation procedure towards fine grained memory and attitude measures in evaluative conditioning","C Stahl, F Aust, A Mierop, J Bena, O Corneille","PsyArXiv","",1,2020,"14584227257928748879","RoXSNcbkSzsC","XtQdbDIAAAAJ"
"desperately seeking friends  how expectation of punishment modulates attention to angry and happy faces","N Vermeulen, G Pleyers, M Mermillod, O Corneille, A Schaefer","Visual Cognition","27 (5-8), 649-656",1,2019,"10411442273231566095","2tRrZ1ZAMYUC","XtQdbDIAAAAJ"
"psychological consequences of inequality for food intake","MA Claassen, O Corneille, O Klein","The social psychology of inequality","155-172",1,2019,"10864860366690184740","CaZNVDsoPx4C","XtQdbDIAAAAJ"
"do you see me the way i see myself  narcissists are less prone to illusion of transparency than other people","L Renier, C Toma, O Corneille","Working Papers CEB","",1,2016,"8603774620492629098","1yQoGdGgb4wC","XtQdbDIAAAAJ"
"o 37 disrupted regulation of social exclusion in alcohol dependence  an fmri study","P Maurage, F Joassin, M Pesenti, P Philippot, N Vermeulen, O Corneille, ...","European Psychiatry","27 (S1), 1-1",1,2012,"3187069378194824321","JV2RwH3_ST0C","XtQdbDIAAAAJ"
"disrupted regulation of social exclusion in chronic alcoholism  an fmri study ","P Maurage, F Joassin, M Pesenti, P Philippot, N Vermeulen, O Corneille, ...","Alcoholism: Clinical and Experimental Research","34 (8), 133",1,2010,"1676594015131876548","PoWvk5oyLR8C","XtQdbDIAAAAJ"
"chapitre 2  les heuristiques  l influence des raccourcis de jugement dans la persuasion et la prise de décision","O Corneille","PSY-Individus, groupes, culture","31-59",1,2010,"4164170833369894207","3s1wT3WcHBgC","XtQdbDIAAAAJ"
"la part de la cohérence explicative dans le biais de surattribution","O Corneille, JP Leyens, F Bellour, F Nils","","",1,1998,"5267806332777798576","j8SEvjWlNXcC","XtQdbDIAAAAJ"
"revisiting dissociation hypotheses with a structural fit approach  the case of the prepared reflex framework","J Béna, DE Melnikoff, A Mierop, O Corneille","Journal of Experimental Social Psychology","100, 104297",0,2022,NA,"C33y2ycGS3YC","XtQdbDIAAAAJ"
"discrepancies in the definition and measurement of interoception  a comprehensive discussion and suggested ways forward","O Desmedt, O Luminet, P Maurage, O Corneille","PsyArXiv","",0,2022,NA,"-6RzNnnwWf8C","XtQdbDIAAAAJ"
"  repetition increases both the perceived truth and fakeness of information  an ecological account   corrigendum ","O Corneille, A Mierop, C Unkelbach","Elsevier Science","",0,2022,NA,"SAZ1SQo2q1kC","XtQdbDIAAAAJ"
"corrigendum to  repetition increases both the perceived truth and fakeness of information  an ecological account  cognition  205  2020  1 6 104470 ","O Corneille, A Mierop, C Unkelbach","Cognition","220",0,2022,NA,"1tZ8xJnm2c8C","XtQdbDIAAAAJ"
"liste des experts pour l année 2012","XF Alario, T Alexopoulos, K Allan, F Amadieu, T Atzeni, M Augustinova, ...","","",0,2022,NA,"0KyAp5RtaNEC","XtQdbDIAAAAJ"
"how risk prone are people when facing a sure loss  negative interest rates as a convenient conceptual framework","E Efendić, O Corneille, C D’Hondt, R De Winne","Psychonomic bulletin & review","28 (5), 1715-1725",0,2021,NA,"EPG8bYD4jVwC","XtQdbDIAAAAJ"
"chapitre 6  la part de la cohérence explicative dans le biais de surattribution","O Corneille, JP Leyens, F Bellour, F Nils","","",0,2021,NA,"VL0QpB8kHFEC","XtQdbDIAAAAJ"
"contribution of time estimation to heartbeat counting task performance under original and modified instructions","O Desmedt, O Corneille, O Luminet, J Murphy, B Geoffrey, P Maurage","PSYCHOSOMATIC MEDICINE","82 (6), A114-A114",0,2020,NA,"q-HalDI95KYC","XtQdbDIAAAAJ"
"how risk seeking are people when facing a sure loss  negative interest rates as a convenient conceptual framework","E Efendic, O Corneille, C D'Hondt, R De Winne","PsyArXiv","",0,2020,NA,"wKETBy42zhYC","XtQdbDIAAAAJ"
"moderately simple fbdg work better than complex or oversimplified recommendations to influence food consumption in a real setting","COC Werle, K Roche, O Corneille, C Roux","ACR North American Advances","",0,2017,NA,"g3aElNc5_aQC","XtQdbDIAAAAJ"
"attribution causale  psychologie sociale","O Corneille","","",0,2017,NA,"uJ-U7cs_P_0C","XtQdbDIAAAAJ"
"emotional or restraint  the influence of eating behaviour trait on attention for food","G Zamariola, O Luminet, O Corneille","European Health Psychologist","18 (S), 469",0,2016,NA,"UHK10RUVsp4C","XtQdbDIAAAAJ"
"how do people respond to nutrition claims on vegetables  a quantitative and qualitative analysis","MD Mulders, O Klein, O Corneille","European Health Psychologist","18 (S), 818",0,2016,NA,"dQ2og3OwTAUC","XtQdbDIAAAAJ"
"ceb working paper","L Renier, C Toma, O Corneille","","",0,2016,NA,"PR6Y55bgFSsC","XtQdbDIAAAAJ"
"poverty   obesity  how poverty influences food choices","A Claassen, O Klein, O Corneille","EUROPEAN JOURNAL OF PUBLIC HEALTH","26",0,2016,NA,"ZfRJV9d4-WMC","XtQdbDIAAAAJ"
"poverty   obesity  how poverty influences food choices  almudena claassen","O Klein, O Corneille","The European Journal of Public Health","26 (suppl_1), ckw164. 041",0,2016,NA,"ZuybSZzF8UAC","XtQdbDIAAAAJ"
"the affective dynamics of hedonic versus healthy food choices  making salient post consumption affect promotes healthy food choices","C Toma, M Zeelenberg, O Corneille","Working Papers CEB","16",0,2016,NA,"5awf1xo2G04C","XtQdbDIAAAAJ"
"  is plain food packaging plain wrong  plain packaging increases unhealthy snack intake among males   corrigendum ","COC Werle, L Balbo, C Caldara, O Corneille","Elsevier Science","",0,2016,NA,"sJsF-0ZLhtgC","XtQdbDIAAAAJ"
"making salient immediate post consumption affects promotes healthy food choices","O Corneille, C Toma, M Zeelenberg","ACR North American Advances","",0,2016,NA,"tKAzc9rXhukC","XtQdbDIAAAAJ"
"resources availability and explicit memory largely determine evaluative conditioning  even in a paradigm conducive of implicit ec effects ","A Mierop, M Hütter, O Corneille","ACR North American Advances","",0,2016,NA,"7T2F9Uy0os0C","XtQdbDIAAAAJ"
"nos préférences sous influences  les mécanismes psychologiques qui guident nos choix","O Corneille","Mardaga","",0,2015,NA,"_B80troHkn4C","XtQdbDIAAAAJ"
"the power of projection for powerless and powerful people","C Toma, V Yzerbyt, O Corneille, S Demoulin","Univ. Libre de Bruxelles, Solvay Brussels School of Economics and Management …","",0,2015,NA,"HE397vMXCloC","XtQdbDIAAAAJ"
"the role of perceptual disfluency in perceptions of similarity  basic effects and social consequence","KA Woltin, O Corneille, V Yzerbyt","","17th General Meeting of the European Association of Social Psychology",0,2014,NA,"3bvyWxjaHKcC","XtQdbDIAAAAJ"
"pauvreté et obésité  influence du standing du supermarché sur les perceptions et choix alimentaires nutritionnellement sains et malsains","E Boonen, J Wertheim, O Corneille","Language","",0,2014,NA,"ODE9OILHJdcC","XtQdbDIAAAAJ"
"acknowledgements 2013","AR McConnell","Social Psychological and Personality Science","4 (6), 760-763",0,2013,NA,"NJ774b8OgUMC","XtQdbDIAAAAJ"
"shall i rel eye upon you   the role of the observer target relationship inmimetic desires","E Treinen, O Corneille","Nonverbal Behavior Preconference, Society for Personality and Social Psychology","",0,2013,NA,"BwyfMAYsbu0C","XtQdbDIAAAAJ"
"the effect of disfluency on social distance ","KA Woltin, O Corneille, V Yzerbyt","","55th Tagung experimentell arbeitender Psychologen [Conference of …",0,2013,NA,"uWiczbcajpAC","XtQdbDIAAAAJ"
"does oxytocin modulate mimetic desires ","E Treinen, A Lane, O Corneille, D Samson, M Mikolajczak, O Luminet, ...","Annual Meeting of the Belgian Association for Psychological Sciences","",0,2013,NA,"zLWjf1WUPmwC","XtQdbDIAAAAJ"
"disrupted regulation of social exclusion in chronic alcoholism  an fmri study","P Maurage, F Joassin, P Philippot, A Heeren, N Vermeulen, P Mahau, ...","Neurophysiologie Clinique","43 (1), 75",0,2013,NA,"1sJd4Hv_s6UC","XtQdbDIAAAAJ"
